neighborhood,category,class_name,severity,confidence,lat,lon,source_image
City Heights,Underserved,Transverse Crack,Light,0.271,32.746421,-117.107071,img_0166_S_32-746421_-117-107071_jpg.rf.50b9001dccbcc7c2c9128615cc9da974.jpg
La Jolla,Wealthier,Longitudinal Crack,Light,0.536,32.833521,-117.2713,img_0166_S_32-833521_-117-2713_jpg.rf.f124013cc5e39c8e608a07c9e321fb82.jpg
La Jolla,Wealthier,Transverse Crack,Light,0.41,32.833521,-117.2713,img_0167_W_32-833521_-117-2713_jpg.rf.e9c6228284e166249f1ccd95b81348a7.jpg
City Heights,Underserved,Transverse Crack,Light,0.352,32.746421,-117.106214,img_0168_N_32-746421_-117-106214_jpg.rf.7968e8d9093695844157b7744714aa7c.jpg
City Heights,Underserved,Pothole,Severe,0.666,32.746421,-117.106214,img_0169_E_32-746421_-117-106214_jpg.rf.3a2c4111f996565faac948043f24ec9b.jpg
City Heights,Underserved,Pothole,Severe,0.257,32.746421,-117.106214,img_0170_S_32-746421_-117-106214_jpg.rf.09bf6e688397ecf09da3e18a1311d169.jpg
La Jolla,Wealthier,Transverse Crack,Light,0.355,32.833521,-117.268727,img_0170_S_32-833521_-117-268727_jpg.rf.59438fd26a7df84bbdf51aeb8b9194d0.jpg
La Jolla,Wealthier,Transverse Crack,Light,0.279,32.833521,-117.268727,img_0170_S_32-833521_-117-268727_jpg.rf.59438fd26a7df84bbdf51aeb8b9194d0.jpg
City Heights,Underserved,Pothole,Severe,0.287,32.746421,-117.106214,img_0171_W_32-746421_-117-106214_jpg.rf.19e48ffaa73d8c27b8a2a1643e50da92.jpg
La Jolla,Wealthier,Longitudinal Crack,Light,0.665,32.833521,-117.268727,img_0171_W_32-833521_-117-268727_jpg.rf.f7247d53355700e988a926674fca68d5.jpg
La Jolla,Wealthier,Longitudinal Crack,Light,0.36,32.833521,-117.268727,img_0171_W_32-833521_-117-268727_jpg.rf.f7247d53355700e988a926674fca68d5.jpg
La Jolla,Wealthier,Longitudinal Crack,Light,0.343,32.834241,-117.274731,img_0172_N_32-834241_-117-274731_jpg.rf.2b6ea898ce9ec54429a7dbc5b7a558aa.jpg
La Jolla,Wealthier,Longitudinal Crack,Light,0.261,32.834241,-117.274731,img_0172_N_32-834241_-117-274731_jpg.rf.2b6ea898ce9ec54429a7dbc5b7a558aa.jpg
La Jolla,Wealthier,Longitudinal Crack,Light,0.432,32.834241,-117.274731,img_0173_E_32-834241_-117-274731_jpg.rf.3a2a15ea925c74b4967fe5c0b171258f.jpg
La Jolla,Wealthier,Side_Walk,N/A,0.281,32.834241,-117.274731,img_0173_E_32-834241_-117-274731_jpg.rf.3a2a15ea925c74b4967fe5c0b171258f.jpg
La Jolla,Wealthier,Longitudinal Crack,Light,0.662,32.834241,-117.274731,img_0174_S_32-834241_-117-274731_jpg.rf.dddddf9d4f79aaa220e4bb5ff8fe50c0.jpg
City Heights,Underserved,Longitudinal Crack,Light,0.375,32.746421,-117.105357,img_0175_W_32-746421_-117-105357_jpg.rf.2420e1b2527b51f3dfa8f3edee746c89.jpg
La Jolla,Wealthier,Longitudinal Crack,Light,0.256,32.834241,-117.274731,img_0175_W_32-834241_-117-274731_jpg.rf.b58e2e093beb3c3b6a3ca69320002a25.jpg
City Heights,Underserved,Alligator Crack,Severe,0.587,32.746421,-117.1045,img_0176_N_32-746421_-117-1045_jpg.rf.add9dfb457350672a78c60b5a21c615d.jpg
City Heights,Underserved,Longitudinal Crack,Light,0.362,32.746421,-117.1045,img_0176_N_32-746421_-117-1045_jpg.rf.add9dfb457350672a78c60b5a21c615d.jpg
City Heights,Underserved,Transverse Crack,Light,0.309,32.746421,-117.1045,img_0176_N_32-746421_-117-1045_jpg.rf.add9dfb457350672a78c60b5a21c615d.jpg
City Heights,Underserved,Longitudinal Crack,Light,0.363,32.746421,-117.1045,img_0177_E_32-746421_-117-1045_jpg.rf.1b8ed20c7a7effc52b27f89d12940c72.jpg
City Heights,Underserved,Alligator Crack,Severe,0.347,32.746421,-117.1045,img_0177_E_32-746421_-117-1045_jpg.rf.1b8ed20c7a7effc52b27f89d12940c72.jpg
